,Year,Draw,Country,Artist,Song,Language,Place,Points
7,1997,08,Netherlands,Mrs. Einstein,Niemand heeft nog tijd,Dutch,22,5
8,1997,09,Italy,Jalisse,Fiumi di parole,Italian,4,114
9,1997,10,Spain,Marcos Llunas,Sin rencor,Spanish,6,96
10,1997,11,Germany,Bianca Shomburg,Zeit,German,18,22
11,1997,12,Poland,Anna Maria Jopek,Ale jestem,Polish,11,54
12,1997,13,Estonia,Maarja-Liis Ilus,Keelatud maa,Estonian,8,82
13,1997,14,Bosnia and Herzegovina,Alma Čardžić,Goodbye,Bosnian,18,22
14,1997,15,Portugal,Célia Lawson,Antes do adeus,Portuguese,24,0
15,1997,16,Sweden,Blond,Bara hon älskar mig,Swedish,14,36
16,1997,17,Greece,Marianna Zorba,Horepse (Χόρεψε),Greek,12,39
17,1997,18,Malta,Debbie Scerri,Let Me Fly,English,9,66
18,1997,19,Hungary,V.I.P.,"Miért kell, hogy elmenj?",Hungarian,12,39
19,1997,20,Russia,Alla Pugacheva,Primadonna (Примадонна),Russian,15,33
20,1997,21,Denmark,Kølig Kaj,Stemmen i mit liv,Danish,16,25
21,1997,22,France,Fanny,Sentiments songes,French,7,95
22,1997,23,Croatia,E.N.I.,Probudi me,Croatian,17,24
23,1997,24,United Kingdom,Katrina and the Waves,Love Shine a Light,English,1,227
24,1997,25,Iceland,Paul Oscar,Minn hinsti dans,Icelandic,20,18
0,1998,01,Croatia,Danijela,Neka mi ne svane,Croatian,5,131
1,1998,02,Greece,Thalassa,Mia krifi evaisthisia (Μια κρυφή ευαισθησία),Greek,20,12
2,1998,03,France,Marie Line,Où aller,French,24,3
3,1998,04,Spain,Mikel Herzog,¿Qué voy a hacer sin ti?,Spanish,16,21
4,1998,05,Switzerland,Gunvor,Lass ihn,German,25,0
5,1998,06,Slovakia,Katarína Hasprová,Modlitba,Slovak,21,8
6,1998,07,Poland,Sixteen,To takie proste,Polish,17,19
7,1998,08,Israel,Dana International,Diva (דיווה),Hebrew,1,172
8,1998,09,Germany,Guildo Horn,Guildo hat euch lieb!,German,7,86
9,1998,10,Malta,Chiara,The One That I Love,English,3,165
10,1998,11,Hungary,Charlie,A holnap már nem lesz szomorú,Hungarian,23,4
11,1998,12,Slovenia,Vili Resnik,Naj bogovi slišijo,Slovene,18,17
12,1998,13,Ireland,Dawn Martin,Is Always Over Now?,English,9,64
13,1998,14,Portugal,Alma Lusa,Se eu te pudesse abraçar,Portuguese,12,36
